created_at,text,retweets,likes
Wed Mar 03 21:27:52 +0000 2021,"[NYC Vaccine Hub · Brooklyn] Canarsie High School: 36 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3

https://t.co/jQDJPwNCK4",14,11
Wed Mar 03 21:23:52 +0000 2021,"[NYC Vaccine Hub · Brooklyn] Science Skill Center HS: 30 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3

https://t.co/jQDJPwNCK4",14,22
Wed Mar 03 21:22:13 +0000 2021,"[NYC Vaccine Hub · Brooklyn] Bushwick Educational Campus: 41 appts

Mar 4 – 10:10AM, 10:20AM, 10:30AM + 20
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3
+ 1 more day

https://t.co/jQDJPwNCK4",16,16
Wed Mar 03 21:22:13 +0000 2021,"[NYC Vaccine Hub · Brooklyn] Abraham Lincoln High School: 30 appts

Mar 4 – 10:50AM, 11:00AM, 11:10AM + 14
Mar 5 – 4:10PM, 4:20PM, 4:30PM + 2
Mar 6 – 4:20PM, 4:30PM, 4:40PM
+ 1 more day

https://t.co/jQDJPwNCK4",10,6
Wed Mar 03 15:00:01 +0000 2021,"J&amp;J shots are here—relevant dates for those who want to book:

1) Today 11AM: sign-up starts for Yankee Stadium (Bronx residents only) https://t.co/mLYaioDY3h
2) Tomorrow 8AM: sign-up starts for Javits Center (all eligible NYers) https://t.co/FV2mQjpYqw

https://t.co/wz1ZM2Bdey",123,204
Wed Mar 03 00:24:36 +0000 2021,"[NYC H+H · Manhattan] Harlem Hospital: 36 appts

Mar 5 – 4:00PM, 4:20PM, 4:30PM + 9
Mar 6 – 10:00AM, 10:20AM, 10:30AM + 11
Mar 7 – 2:00PM, 2:20PM, 2:30PM + 7

https://t.co/iVRnr1hjSf",28,48
Tue Mar 02 23:27:44 +0000 2021,"[NYC Vaccine Hub · Staten Island] Empire Outlets (S.I. residents only): 38 appts

Mar 3 – 2:30PM, 3:15PM, 3:30PM + 8
Mar 4 – 8:00AM, 8:15AM, 8:30AM + 24

https://t.co/jQDJPwNCK4",15,38
Tue Mar 02 23:09:01 +0000 2021,"[NYC Vaccine Hub · Queens] HSS at Martin Van Buren HS: 53 appts

Mar 3 – 8:10AM, 8:20AM, 8:30AM + 50

https://t.co/jQDJPwNCK4",14,46
Tue Mar 02 16:34:55 +0000 2021,"[NYC H+H · Brooklyn] Brooklyn Army Terminal: 84 appts

Mar 4 – 3:45AM, 4:45AM, 6:00AM + 9
Mar 5 – 1:30AM, 1:45AM, 2:15AM + 69

https://t.co/iVRnr1hjSf",28,56
Tue Mar 02 14:34:51 +0000 2021,"[NYC H+H · Brooklyn] Brooklyn Army Terminal: 47 appts

Mar 2 – 12:15PM, 12:30PM, 12:45PM + 44

https://t.co/iVRnr1hjSf",30,67
Tue Mar 02 06:02:27 +0000 2021,"[NYC H+H · Queens] Elmhurst Hospital: 37 appts

Mar 3 – 7:15AM, 7:30AM, 7:45AM + 34

https://t.co/iVRnr1hjSf",19,57
Tue Mar 02 04:59:12 +0000 2021,@nileriverr Pick a later date,0,0
Tue Mar 02 02:54:29 +0000 2021,"Note: you need to go through the form and click through to ""Schedule your vaccine appointment"" even if it says no appointments available",10,156
Tue Mar 02 02:54:07 +0000 2021,"[NYS Dept. of Health · Manhattan] Javits Center: 6195 appts

Mar 4 – 8:00AM-7:30PM
Mar 5 – 8:00AM-7:30PM
Mar 6 – 8:00AM-7:30PM
+ 18 more days

https://t.co/rpNlvKMeLw",157,388
Tue Mar 02 02:53:59 +0000 2021,"Note: you need to go through the form and click through to ""Schedule your vaccine appointment"" even if it says no appointment available",2,16
Tue Mar 02 02:52:09 +0000 2021,"[NYS Dept. of Health · Queens] Aqueduct Racetrack: 3653 appts

Mar 4 – 8:00AM-6:30PM
Mar 5 – 8:00AM-6:30PM
Mar 6 – 8:00AM-6:30PM
+ 12 more days

https://t.co/rpNlvKMeLw",42,70
Tue Mar 02 01:11:07 +0000 2021,"[NYC H+H · Brooklyn] Kings County Hospital: 39 appts

Mar 8 – 7:00AM, 7:30AM, 7:45AM + 36

https://t.co/iVRnr1hjSf",30,62
Mon Mar 01 19:19:10 +0000 2021,https://t.co/QRXD2clOvt,2,22
Mon Mar 01 19:16:40 +0000 2021,"FYI Interfaith Medical Center in Brooklyn has 720 doses of Pfizer that must be used by Wednesday

h/t to @greenesoprano for the heads up
 https://t.co/zbva0P1O1q",204,232
Mon Mar 01 17:05:54 +0000 2021,"And if you think contributions of Asian-Americans are replaceable, ask your government how their version of TurboVax is going 🙂

Now let's find some appointments, shall we?",54,1877
