,year,on spotify?
1571,2018,No
1572,2015,Yes
1573,2020,Yes
1574,2016,Yes
1575,2015,Yes
1576,2018,Yes
1577,2017,No
1578,2018,No
1579,2013,No
1580,2016,No
1581,2017,No
1582,2012,Yes
1583,2014,No
1584,2016,No
1585,2016,No
1586,2009,Yes
1587,2018,Yes
1588,2021,No
1589,2020,No
1590,2015,Yes
1591,2015,Yes
1592,2012,No
1593,2016,Yes
1594,2014,Yes
1595,2020,No
1596,2019,Yes
1597,2013,No
1598,2018,No
1599,2014,No
1600,2015,No
1601,2017,No
1602,2015,No
1603,2015,No
1604,2020,No
1605,2020,No
1606,2020,No
1607,2014,No
1608,2017,Yes
1609,2012,No
1610,2013,No
1611,2018,No
1612,2016,No
1613,2020,Yes
1614,2016,No
1615,2016,No
1616,2020,No
1617,2020,No
1618,2015,Yes
1619,2017,Yes
1620,2015,Yes
1621,2013,Yes
1622,2014,No
1623,2015,No
1624,2020,Yes
1625,2012,No
1626,2017,No
1627,2014,No
1628,2020,No
1629,2015,No
1630,2019,Yes
1631,2014,Yes
1632,2016,No
1633,2020,No
1634,2020,No
1635,2021,No
1636,2017,No
1637,2015,No
1638,2018,Yes
1639,2017,No
1640,2020,Yes
1641,2014,No
1642,2012,No
1643,2015,No
1644,2013,No
1645,2017,Yes
1646,2017,Yes
1647,2020,No
1648,2015,No
1649,2011,Yes
1650,2020,No
1651,2018,No
1652,2020,No
1653,2016,No
1654,2011,No
1655,2016,No
1656,2019,Yes
1657,2014,No
1658,2016,Yes
1659,2018,No
1660,2015,Yes
1661,2019,Yes
1662,2013,No
1663,2014,Yes
1664,2019,No
1665,2013,No
1666,2015,No
1667,2016,No
1668,2013,Yes
1669,2020,No
1670,2011,No
1671,2017,Yes
1672,2016,No
1673,2015,No
1674,2017,No
1675,2020,No
1676,2014,No
1677,2018,No
1678,2020,Yes
1679,2017,No
1680,2013,No
1681,2021,No
1682,2021,Yes
1683,2018,No
1684,2014,Yes
1685,2016,Yes
1686,2020,No
1687,2012,No
1688,2010,No
1689,2013,No
1690,2018,Yes
1691,2012,Yes
1692,2017,No
1693,2018,No
1694,2019,No
1695,2010,Yes
1696,2021,Yes
1697,2016,No
1698,2013,No
1699,2017,Yes
1700,2014,Yes
1701,2012,Yes
1702,2018,No
1703,2011,No
1704,2020,Yes
1705,2017,No
1706,2017,Yes
1707,2019,No
1708,2020,No
1709,2018,No
1710,2012,No
1711,2017,No
1712,2020,No
1713,2014,No
1714,2014,No
1715,2011,No
1716,2015,No
1717,2020,Yes
1718,2011,Yes
1719,2020,No
1720,2019,No
1721,2020,Yes
1722,2013,No
1723,2015,No
1724,2018,No
1725,2019,No
1726,2017,No
1727,2020,No
1728,2013,No
1729,2019,Yes
1730,2017,No
1731,2012,Yes
1732,2015,No
1733,2012,No
1734,2013,No
1735,2015,Yes
1736,2016,No
1737,2018,No
1738,2016,No
1739,2015,Yes
1740,2013,No
